mysql> SELECT DISTINCT title, record.qid
    -> FROM (SELECT record.qid, COUNT(DISTINCT record.title) cnt
    -> FROM record
    -> INNER JOIN (SELECT DISTINCT qid FROM record)qids
    -> ON qids.qid = record.qid
    -> GROUP BY record.qid
    -> )questions
    -> INNER JOIN record
    -> ON questions.qid = record.qid AND cnt > 1
    -> ORDER BY record.qid ASC;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+
| title                                                                                                                                                     | qid       |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------+-----------+
| 贝吉塔为什么无法超越孙悟空？                                                                                                                              |  64737739 |
| 《七龙珠》中的贝吉塔为什么无法超越孙悟空？                                                                                                                |  64737739 |
| 大家玩乙女游戏会落泪吗？                                                                                                                                  | 529275992 |
| 女性玩家玩乙女游戏时会落泪吗？                                                                                                                            | 529275992 |
| 比亚迪推出了 DM-i 、吉利推出了雷神、长城有了柠檬 DHT…国产混动技术究竟是什么水平？                                                                         | 531029649 |
| 比亚迪推出了 DM-i 、吉利推出了雷神、长城有了柠檬 DHT，国产混动技术究竟是什么水平？                                                                        | 531029649 |
| 有什么一辈子都不想删的神仙软件?                                                                                                                           | 531406321 |
| 有什么神仙软件，一辈子都不想删掉?                                                                                                                         | 531406321 |
| 化学键断裂要耗能，为什么生物教材上写 ATP 高能磷酸键断裂会释放大量能量？                                                                                   | 534716992 |
| 化学键断裂要耗能，为什么教材上写 ATP 高能磷酸键断裂会释放大量能量？                                                                                       | 534716992 |
| 为什么现在《英雄联盟》职业赛场上很少出现薇恩了？即使是林炜翔这种冠军皮肤拥有者也不用？                                                                    | 540719090 |
| 为什么现在《英雄联盟》职业赛场上很少出现薇恩了？                                                                                                          | 540719090 |
| 全球第一款新冠预防药物「恩适得」获批进口，已落地海南 2 家医院，该药物预防效果如何？                                                                       | 541968370 |
| 全球第一款新冠预防药物获批进口，该药物效果如何？与新冠疫苗有何区别？                                                                                      | 541968370 |
| 余承东称「汽车是华为唯一亏损业务，是烧钱的游戏」，华为为何亏钱也要做汽车这门生意？                                                                        | 542017794 |
| 余承东称「汽车是华为唯一亏损业务」，华为为何亏钱也要做汽车这门生意？                                                                                      | 542017794 |
